,time_crawled,bundesland,temperature
0,2021-07-27 22:08:07,bayern,21.25
1,2021-07-27 22:08:07,baden-wuerttemberg,22.416666666666668
2,2021-07-27 22:08:08,berlin,23.583333333333332
3,2021-07-27 22:08:08,brandenburg,25.333333333333332
4,2021-07-27 22:08:09,brandenburg,25.333333333333332
5,2021-07-27 22:08:09,bremen,23.583333333333332
6,2021-07-27 22:08:09,hamburg,23.583333333333332
7,2021-07-27 22:08:09,mecklenburg-vorpommern,24.333333333333332
8,2021-07-27 22:08:09,niedersachsen,22.0
9,2021-07-27 22:08:10,nordrhein-westfalen,21.0
10,2021-07-27 22:08:10,rheinland-pfalz,21.833333333333332
11,2021-07-27 22:08:10,saarland,21.714285714285715
12,2021-07-27 22:08:11,sachsen,23.666666666666668
13,2021-07-27 22:08:11,sachsen-anhalt,24.75
14,2021-07-27 22:08:11,schleswig-holstein,21.75
15,2021-07-27 22:08:11,thueringen,23.666666666666668
16,2021-08-02 21:46:02,bayern,19.0
17,2021-08-02 21:46:02,baden-wuerttemberg,19.083333333333332
18,2021-08-02 21:46:02,berlin,20.083333333333332
19,2021-08-02 21:46:03,brandenburg,21.75
20,2021-08-02 21:46:03,bremen,20.083333333333332
21,2021-08-02 21:46:03,hamburg,20.083333333333332
22,2021-08-02 21:46:04,mecklenburg-vorpommern,19.916666666666668
23,2021-08-02 21:46:04,niedersachsen,19.583333333333332
24,2021-08-02 21:46:04,nordrhein-westfalen,18.75
25,2021-08-02 21:46:05,rheinland-pfalz,18.416666666666668
26,2021-08-02 21:46:05,saarland,18.428571428571427
27,2021-08-02 21:46:05,sachsen,20.166666666666668
28,2021-08-02 21:46:05,sachsen-anhalt,21.333333333333332
29,2021-08-02 21:46:06,schleswig-holstein,18.583333333333332
30,2021-08-02 21:46:06,thueringen,20.25
31,2021-08-03 21:46:01,bayern,17.833333333333332
32,2021-08-03 21:46:01,baden-wuerttemberg,18.0
33,2021-08-03 21:46:02,berlin,20.5
