,zeit_abgerufen,bundesland,anzahl,differenz_zum_vortag,faelle_letzte_7_tage,_7_tage_inzidenz,todesfaelle
0,2021-07-27 22:19:11,baden-wuerttemberg,504277,98,1359,12.2,10383
1,2021-08-02 19:11:02,baden-wuerttemberg,505902,78,1658,14.9,10395
2,2021-08-03 10:40:01,baden-wuerttemberg,505995,93,1605,14.5,10401
3,2021-08-04 10:40:01,baden-wuerttemberg,506312,317,1559,14.0,10411
4,2021-08-05 10:40:01,baden-wuerttemberg,506733,421,1642,14.8,10422
5,2021-08-06 10:40:01,baden-wuerttemberg,507089,356,1729,15.6,10424
6,2021-08-07 10:40:01,baden-wuerttemberg,507089,356,1729,15.6,10424
7,2021-08-08 10:40:02,baden-wuerttemberg,507089,356,1729,15.6,10424
8,2021-08-09 10:40:02,baden-wuerttemberg,507876,95,1911,17.2,10430
9,2021-08-10 10:40:02,baden-wuerttemberg,508035,159,1916,17.3,10431
10,2021-08-11 10:40:01,baden-wuerttemberg,508595,560,2128,19.2,10432
11,2021-08-12 10:40:02,baden-wuerttemberg,509237,642,2369,21.3,10433
12,2021-08-13 10:40:02,baden-wuerttemberg,509833,596,2628,23.7,10433
13,2021-08-14 10:40:01,baden-wuerttemberg,509833,596,2628,23.7,10433
14,2021-08-15 10:40:02,baden-wuerttemberg,509833,596,2628,23.7,10433
15,2021-08-16 10:40:01,baden-wuerttemberg,511276,157,3330,30.0,10435
16,2021-07-27 22:19:11,bayern,652265,168,1739,13.2,15320
17,2021-08-02 19:11:02,bayern,653945,148,1911,14.6,15337
18,2021-08-03 10:40:01,bayern,654078,133,1843,14.0,15340
19,2021-08-04 10:40:01,bayern,654446,368,1759,13.4,15344
20,2021-08-05 10:40:01,bayern,654776,330,1786,13.6,15348
21,2021-08-06 10:40:01,bayern,655112,336,1817,13.8,15357
22,2021-08-07 10:40:01,bayern,655112,336,1817,13.8,15357
23,2021-08-08 10:40:02,bayern,655112,336,1817,13.8,15357
24,2021-08-09 10:40:02,bayern,656067,185,2081,15.9,15359
25,2021-08-10 10:40:02,bayern,656276,209,2110,16.1,15362
26,2021-08-11 10:40:01,bayern,656938,662,2383,18.2,15366
27,2021-08-12 10:40:02,bayern,657596,658,2687,20.5,15368
28,2021-08-13 10:40:02,bayern,658221,625,2974,22.7,15370
