,time_crawled,code,vaccinationsTotal,peopleFirstTotal,peopleFullTotal
0,2021-07-27 22:28:52,DE-BB,2508303,1395334,1186113
1,2021-07-27 22:28:52,DE-BE,3928365,2208722,1802440
2,2021-07-27 22:28:52,DE-BW,11853409,6571774,5572699
3,2021-07-27 22:28:52,DE-BY,13614235,7716354,6206867
4,2021-07-27 22:28:52,DE-HB,840030,476192,391615
5,2021-07-27 22:28:52,DE-HE,6735910,3813018,3086738
6,2021-07-27 22:28:52,DE-HH,1961849,1154278,861859
7,2021-07-27 22:28:52,DE-MV,1714768,952650,802442
8,2021-07-27 22:28:52,DE-NI,8737526,5110286,3925659
9,2021-07-27 22:28:52,DE-NW,20256635,11538688,9292337
10,2021-07-27 22:28:52,DE-RP,4487199,2550675,2048401
11,2021-07-27 22:28:52,DE-SH,3303143,1882410,1513974
12,2021-07-27 22:28:52,DE-SL,1158793,658233,528260
13,2021-07-27 22:28:52,DE-SN,3896169,2103554,1865796
14,2021-07-27 22:28:52,DE-ST,2234056,1245369,1059223
15,2021-07-27 22:28:52,DE-TH,2171508,1176282,1040625
16,2021-08-02 21:46:02,DE-BB,2569728,1408293,1235698
17,2021-08-02 21:46:02,DE-BE,4036076,2237837,1883401
18,2021-08-02 21:46:02,DE-BW,12252364,6648929,5908028
19,2021-08-02 21:46:02,DE-BY,14085627,7805406,6600261
20,2021-08-02 21:46:02,DE-HB,870849,481086,419029
21,2021-08-02 21:46:02,DE-HE,6920177,3867189,3223115
22,2021-08-02 21:46:02,DE-HH,2031630,1176486,911002
23,2021-08-02 21:46:02,DE-MV,1755696,962208,835053
24,2021-08-02 21:46:02,DE-NI,9022726,5163786,4165215
25,2021-08-02 21:46:02,DE-NW,20762327,11675957,9674608
26,2021-08-02 21:46:02,DE-RP,4620930,2580393,2154800
27,2021-08-02 21:46:02,DE-SH,3414668,1908269,1602655
28,2021-08-02 21:46:02,DE-SL,1191614,668838,552064
29,2021-08-02 21:46:02,DE-SN,3981899,2125632,1931823
30,2021-08-02 21:46:02,DE-ST,2290518,1258110,1105486
31,2021-08-02 21:46:02,DE-TH,2226214,1186746,1086815
32,2021-08-03 21:46:01,DE-BB,2578446,1410843,1242087
33,2021-08-03 21:46:01,DE-BE,4051587,2241628,1895519
34,2021-08-03 21:46:01,DE-BW,12290848,6657660,5939504
35,2021-08-03 21:46:01,DE-BY,14142589,7815939,6648184
36,2021-08-03 21:46:01,DE-HB,875362,481818,422977
37,2021-08-03 21:46:01,DE-HE,6942784,3874408,3239479
38,2021-08-03 21:46:01,DE-HH,2039832,1179545,916588
39,2021-08-03 21:46:01,DE-MV,1762597,963814,840634
40,2021-08-03 21:46:01,DE-NI,9056620,5173415,4192128
41,2021-08-03 21:46:01,DE-NW,20826915,11695299,9723142
42,2021-08-03 21:46:01,DE-RP,4638106,2584785,2168192
43,2021-08-03 21:46:01,DE-SH,3430392,1913326,1614714
44,2021-08-03 21:46:01,DE-SL,1196921,670972,555889
45,2021-08-03 21:46:01,DE-SN,3993730,2129264,1940432
46,2021-08-03 21:46:01,DE-ST,2297594,1260175,1111033
47,2021-08-03 21:46:01,DE-TH,2231422,1187715,1091184
48,2021-08-04 21:46:02,DE-BB,2590672,1414088,1251606
49,2021-08-04 21:46:02,DE-BE,4072975,2247698,1911523
50,2021-08-04 21:46:02,DE-BW,12348742,6667968,5989148
51,2021-08-04 21:46:02,DE-BY,14228000,7829393,6722287
52,2021-08-04 21:46:02,DE-HB,880557,482866,427452
53,2021-08-04 21:46:02,DE-HE,6973852,3881629,3264394
54,2021-08-04 21:46:02,DE-HH,2051181,1182458,925175
55,2021-08-04 21:46:02,DE-MV,1772212,965958,848532
56,2021-08-04 21:46:02,DE-NI,9105975,5184626,4232242
57,2021-08-04 21:46:02,DE-NW,20928856,11719229,9806267
58,2021-08-04 21:46:02,DE-RP,4662962,2589413,2188869
59,2021-08-04 21:46:02,DE-SH,3447632,1917669,1628035
60,2021-08-04 21:46:02,DE-SL,1203236,672242,561175
61,2021-08-04 21:46:02,DE-SN,4007677,2134135,1950285
62,2021-08-04 21:46:02,DE-ST,2308606,1262393,1120297
63,2021-08-04 21:46:02,DE-TH,2239804,1189237,1098324
64,2021-08-05 21:46:02,DE-BB,2603295,1417306,1261354
65,2021-08-05 21:46:02,DE-BE,4097410,2254268,1929786
66,2021-08-05 21:46:02,DE-BW,12411017,6679705,6041512
67,2021-08-05 21:46:02,DE-BY,14322375,7843940,6804032
68,2021-08-05 21:46:02,DE-HB,885092,483926,431043
69,2021-08-05 21:46:02,DE-HE,7016640,3891292,3298621
70,2021-08-05 21:46:02,DE-HH,2067710,1186541,937856
71,2021-08-05 21:46:02,DE-MV,1783908,968361,858173
72,2021-08-05 21:46:02,DE-NI,9168555,5196423,4285227
73,2021-08-05 21:46:02,DE-NW,21064979,11747114,9917310
74,2021-08-05 21:46:02,DE-RP,4695666,2594710,2216682
75,2021-08-05 21:46:02,DE-SH,3476464,1925073,1650233
76,2021-08-05 21:46:02,DE-SL,1211079,673713,567843
77,2021-08-05 21:46:02,DE-SN,4023168,2139290,1961187
78,2021-08-05 21:46:02,DE-ST,2322170,1265189,1131579
79,2021-08-05 21:46:02,DE-TH,2249120,1191671,1105423
80,2021-08-06 21:46:02,DE-BB,2615503,1420972,1270364
81,2021-08-06 21:46:02,DE-BE,4118259,2259363,1946074
82,2021-08-06 21:46:02,DE-BW,12468877,6690737,6090103
83,2021-08-06 21:46:02,DE-BY,14414114,7857603,6884017
84,2021-08-06 21:46:02,DE-HB,888773,484867,434083
