,time_crawled,bundesland,temperature,city
0,2021-07-27 22:08:07,bayern,23.0,Augsburg
1,2021-07-27 22:08:07,bayern,25.0,Bamberg
2,2021-07-27 22:08:07,bayern,21.0,Berchtesgaden
3,2021-07-27 22:08:07,bayern,15.0,Großer Arber
4,2021-07-27 22:08:07,bayern,23.0,Lindau
5,2021-07-27 22:08:07,bayern,21.0,München
6,2021-07-27 22:08:07,bayern,25.0,Nürnberg
7,2021-07-27 22:08:07,bayern,24.0,Passau
8,2021-07-27 22:08:07,bayern,24.0,Regensburg
9,2021-07-27 22:08:07,bayern,24.0,Weiden
10,2021-07-27 22:08:07,bayern,24.0,Würzburg
11,2021-07-27 22:08:07,bayern,6.0,Zugspitze
12,2021-07-27 22:08:07,baden-wuerttemberg,23.0,Aalen
13,2021-07-27 22:08:07,baden-wuerttemberg,13.0,Feldberg
14,2021-07-27 22:08:07,baden-wuerttemberg,24.0,Freiburg
15,2021-07-27 22:08:07,baden-wuerttemberg,20.0,Freudenstadt
16,2021-07-27 22:08:07,baden-wuerttemberg,25.0,Karlsruhe
17,2021-07-27 22:08:07,baden-wuerttemberg,23.0,Konstanz
18,2021-07-27 22:08:07,baden-wuerttemberg,25.0,Mannheim
19,2021-07-27 22:08:07,baden-wuerttemberg,24.0,Offenburg
20,2021-07-27 22:08:07,baden-wuerttemberg,24.0,Schwaeb. Hall
21,2021-07-27 22:08:07,baden-wuerttemberg,24.0,Stuttgart
22,2021-07-27 22:08:07,baden-wuerttemberg,21.0,Tuttlingen
23,2021-07-27 22:08:07,baden-wuerttemberg,23.0,Ulm
24,2021-07-27 22:08:08,berlin,26.0,Berlin
25,2021-07-27 22:08:08,berlin,26.0,Dresden
26,2021-07-27 22:08:08,berlin,21.0,Emden
27,2021-07-27 22:08:08,berlin,25.0,Frankfurt
28,2021-07-27 22:08:08,berlin,24.0,Freiburg
29,2021-07-27 22:08:08,berlin,23.0,Hamburg
30,2021-07-27 22:08:08,berlin,23.0,Kassel
31,2021-07-27 22:08:08,berlin,23.0,Köln
32,2021-07-27 22:08:08,berlin,21.0,München
33,2021-07-27 22:08:08,berlin,25.0,Rostock
34,2021-07-27 22:08:08,berlin,22.0,Saarbrücken
35,2021-07-27 22:08:08,berlin,24.0,Stuttgart
36,2021-07-27 22:08:08,brandenburg,26.0,Cottbus
37,2021-07-27 22:08:08,brandenburg,25.0,Eberswalde
38,2021-07-27 22:08:08,brandenburg,25.0,Finsterwalde
39,2021-07-27 22:08:09,brandenburg,26.0,Frankft./Od.
40,2021-07-27 22:08:09,brandenburg,26.0,Luckenwalde
41,2021-07-27 22:08:09,brandenburg,26.0,Lübben
42,2021-07-27 22:08:09,brandenburg,24.0,Neuruppin
43,2021-07-27 22:08:09,brandenburg,25.0,Perleberg
44,2021-07-27 22:08:09,brandenburg,26.0,Potsdam
45,2021-07-27 22:08:09,brandenburg,25.0,Prenzlau
46,2021-07-27 22:08:09,brandenburg,25.0,Rathenow
47,2021-07-27 22:08:09,brandenburg,25.0,Seelow
48,2021-07-27 22:08:09,bremen,26.0,Berlin
49,2021-07-27 22:08:09,bremen,26.0,Dresden
50,2021-07-27 22:08:09,bremen,21.0,Emden
51,2021-07-27 22:08:09,bremen,25.0,Frankfurt
52,2021-07-27 22:08:09,bremen,24.0,Freiburg
53,2021-07-27 22:08:09,bremen,23.0,Hamburg
54,2021-07-27 22:08:09,bremen,23.0,Kassel
55,2021-07-27 22:08:09,bremen,23.0,Köln
56,2021-07-27 22:08:09,bremen,21.0,München
57,2021-07-27 22:08:09,bremen,25.0,Rostock
58,2021-07-27 22:08:09,bremen,22.0,Saarbrücken
59,2021-07-27 22:08:09,bremen,24.0,Stuttgart
60,2021-07-27 22:08:09,hamburg,26.0,Berlin
61,2021-07-27 22:08:09,hamburg,26.0,Dresden
62,2021-07-27 22:08:09,hamburg,21.0,Emden
63,2021-07-27 22:08:09,hamburg,25.0,Frankfurt
64,2021-07-27 22:08:09,hamburg,24.0,Freiburg
65,2021-07-27 22:08:09,hamburg,23.0,Hamburg
66,2021-07-27 22:08:09,hamburg,23.0,Kassel
67,2021-07-27 22:08:09,hamburg,23.0,Köln
68,2021-07-27 22:08:09,hamburg,21.0,München
69,2021-07-27 22:08:09,hamburg,25.0,Rostock
70,2021-07-27 22:08:09,hamburg,22.0,Saarbrücken
71,2021-07-27 22:08:09,hamburg,24.0,Stuttgart
72,2021-07-27 22:08:09,mecklenburg-vorpommern,25.0,Greifswald
73,2021-07-27 22:08:09,mecklenburg-vorpommern,25.0,Güstrow
74,2021-07-27 22:08:09,mecklenburg-vorpommern,24.0,Neubrandbg.
75,2021-07-27 22:08:09,mecklenburg-vorpommern,23.0,Neustrelitz
76,2021-07-27 22:08:09,mecklenburg-vorpommern,25.0,Parchim
77,2021-07-27 22:08:09,mecklenburg-vorpommern,22.0,Putgarten
78,2021-07-27 22:08:09,mecklenburg-vorpommern,25.0,Rostock
79,2021-07-27 22:08:09,mecklenburg-vorpommern,25.0,Schwerin
80,2021-07-27 22:08:09,mecklenburg-vorpommern,25.0,Stralsund
81,2021-07-27 22:08:09,mecklenburg-vorpommern,25.0,Usedom
82,2021-07-27 22:08:09,mecklenburg-vorpommern,23.0,Waren
83,2021-07-27 22:08:09,mecklenburg-vorpommern,25.0,Wismar
84,2021-07-27 22:08:09,niedersachsen,19.0,Borkum
85,2021-07-27 22:08:09,niedersachsen,21.0,Cuxhaven
86,2021-07-27 22:08:09,niedersachsen,23.0,Göttingen
87,2021-07-27 22:08:09,niedersachsen,23.0,Hannover
88,2021-07-27 22:08:09,niedersachsen,19.0,Harz
89,2021-07-27 22:08:09,niedersachsen,21.0,Leer
90,2021-07-27 22:08:09,niedersachsen,25.0,Lüchow
91,2021-07-27 22:08:09,niedersachsen,21.0,Meppen
92,2021-07-27 22:08:09,niedersachsen,22.0,Osnabrück
93,2021-07-27 22:08:09,niedersachsen,23.0,Soltau
94,2021-07-27 22:08:09,niedersachsen,22.0,Vechta
95,2021-07-27 22:08:09,niedersachsen,25.0,Wolfsburg
96,2021-07-27 22:08:10,nordrhein-westfalen,21.0,Aachen
97,2021-07-27 22:08:10,nordrhein-westfalen,21.0,Bielefeld
98,2021-07-27 22:08:10,nordrhein-westfalen,23.0,Bonn
99,2021-07-27 22:08:10,nordrhein-westfalen,22.0,Dortmund
